Month,Milk Production
01-01-2009 01:00,589
01-02-2009 01:00,561
01-03-2009 01:00,640
01-04-2009 01:00,656
01-05-2009 01:00,727
01-06-2009 01:00,697
01-07-2009 01:00,640
01-08-2009 01:00,599
01-09-2009 01:00,568
01-10-2009 01:00,577
01-11-2009 01:00,553
01-12-2009 01:00,582
01-01-2010 01:00,600
01-02-2010 01:00,566
01-03-2010 01:00,653
01-04-2010 01:00,673
01-05-2010 01:00,742
01-06-2010 01:00,716
01-07-2010 01:00,660
01-08-2010 01:00,617
01-09-2010 01:00,583
01-10-2010 01:00,587
01-11-2010 01:00,565
01-12-2010 01:00,598
01-01-2011 01:00,628
01-02-2011 01:00,618
01-03-2011 01:00,688
01-04-2011 01:00,705
01-05-2011 01:00,770
01-06-2011 01:00,736
01-07-2011 01:00,678
01-08-2011 01:00,639
01-09-2011 01:00,604
01-10-2011 01:00,611
01-11-2011 01:00,594
01-12-2011 01:00,634
01-01-2012 01:00,658
01-02-2012 01:00,622
01-03-2012 01:00,709
01-04-2012 01:00,722
01-05-2012 01:00,782
01-06-2012 01:00,756
01-07-2012 01:00,702
01-08-2012 01:00,653
01-09-2012 01:00,615
01-10-2012 01:00,621
01-11-2012 01:00,602
01-12-2012 01:00,635
01-01-2013 01:00,677
01-02-2013 01:00,635
01-03-2013 01:00,736
01-04-2013 01:00,755
01-05-2013 01:00,811
01-06-2013 01:00,798
01-07-2013 01:00,735
01-08-2013 01:00,697
01-09-2013 01:00,661
01-10-2013 01:00,667
01-11-2013 01:00,645
01-12-2013 01:00,688
01-01-2014 01:00,713
01-02-2014 01:00,667
01-03-2014 01:00,762
01-04-2014 01:00,784
01-05-2014 01:00,837
01-06-2014 01:00,817
01-07-2014 01:00,767
01-08-2014 01:00,722
01-09-2014 01:00,681
01-10-2014 01:00,687
01-11-2014 01:00,660
01-12-2014 01:00,698
01-01-2015 01:00,717
01-02-2015 01:00,696
01-03-2015 01:00,775
01-04-2015 01:00,796
01-05-2015 01:00,858
01-06-2015 01:00,826
01-07-2015 01:00,783
01-08-2015 01:00,740
01-09-2015 01:00,701
01-10-2015 01:00,706
01-11-2015 01:00,677
01-12-2015 01:00,711
01-01-2016 01:00,734
01-02-2016 01:00,690
01-03-2016 01:00,785
01-04-2016 01:00,805
01-05-2016 01:00,871
01-06-2016 01:00,845
01-07-2016 01:00,801
01-08-2016 01:00,764
01-09-2016 01:00,725
01-10-2016 01:00,723
01-11-2016 01:00,690
01-12-2016 01:00,734
01-01-2017 01:00,750
01-02-2017 01:00,707
01-03-2017 01:00,807
01-04-2017 01:00,824
01-05-2017 01:00,886
01-06-2017 01:00,859
01-07-2017 01:00,819
01-08-2017 01:00,783
01-09-2017 01:00,740
01-10-2017 01:00,747
01-11-2017 01:00,711
01-12-2017 01:00,751
01-01-2018 01:00,804
01-02-2018 01:00,756
01-03-2018 01:00,860
01-04-2018 01:00,878
01-05-2018 01:00,942
01-06-2018 01:00,913
01-07-2018 01:00,869
01-08-2018 01:00,834
01-09-2018 01:00,790
01-10-2018 01:00,800
01-11-2018 01:00,763
01-12-2018 01:00,800
01-01-2019 01:00,826
01-02-2019 01:00,799
01-03-2019 01:00,890
01-04-2019 01:00,900
01-05-2019 01:00,961
01-06-2019 01:00,935
01-07-2019 01:00,894
01-08-2019 01:00,855
01-09-2019 01:00,809
01-10-2019 01:00,810
01-11-2019 01:00,766
01-12-2019 01:00,805
01-01-2020 01:00,821
01-02-2020 01:00,773
01-03-2020 01:00,883
01-04-2020 01:00,898
01-05-2020 01:00,957
01-06-2020 01:00,924
01-07-2020 01:00,881
01-08-2020 01:00,837
01-09-2020 01:00,784
01-10-2020 01:00,791
01-11-2020 01:00,760
01-12-2020 01:00,802
01-01-2021 01:00,828
01-02-2021 01:00,778
01-03-2021 01:00,889
01-04-2021 01:00,902
01-05-2021 01:00,969
01-06-2021 01:00,947
01-07-2021 01:00,908
01-08-2021 01:00,867
01-09-2021 01:00,815
01-10-2021 01:00,812
01-11-2021 01:00,773
01-12-2021 01:00,813
01-01-2022 01:00,834
01-02-2022 01:00,782
01-03-2022 01:00,892
01-04-2022 01:00,903
01-05-2022 01:00,966
01-06-2022 01:00,937
01-07-2022 01:00,896
01-08-2022 01:00,858
01-09-2022 01:00,817
01-10-2022 01:00,827
01-11-2022 01:00,797
01-12-2022 01:00,843
